party,year,total_votes,no_of_seats
RASHLSP,2019,3944,1
RASJGP,2019,5768,1
RASMARP,2019,8997,5
RBC,2014,6265,1
RBCP,2014,5801,2
RBCP,2019,1574,1
RBHP,2014,1842,3
RBJJP,2019,2291,2
RBP,2019,584,1
RBS,2014,2910,2
RBS,2019,1820,1
RCMP,2014,2803,2
RD,2019,1220,1
RDHP,2014,4112,1
RDHP,2019,368,1
RDU,2019,1907,1
REALDP,2019,532,1
REP,2014,601,1
RGD,2014,1111,1
RGD,2019,1749,2
RGOP,2019,1850,1
RHSP,2019,1648,3
RJ,2014,1145,2
RJANSWP,2019,4897,2
RJAP,2014,415,1
RJAPU,2019,7561,2
RJAVP,2014,259,1
RJAVP,2019,535,1
RJBP,2019,55868,13
RJBVP,2019,1600,1
RJD,2014,7440937,29
RJD,2019,6632247,21
RJJM,2014,7147,1
RJM,2014,4647,1
RJNP,2014,18210,7
RJNP,2019,8609,5
RJP(E),2014,2654,1
RJPD,2019,1414,1
RJPK,2014,10797,5
RJSNP,2019,747,1
RJSPS,2019,8900,7
RJVP,2014,8152,3
RJanPty,2019,3433,2
RJnPty,2019,699,1
RJsbhP,2019,16902,7
RKEP,2014,1254,1
RKSP,2014,46756,9
RKSP,2019,9914,4
RLD,2014,696918,10
RLD,2019,1447363,3
RLTP,2019,660051,1
RMEP,2019,3066,3
RMGLMP,2019,798,1
RMGP,2014,2872,3
RMGP,2019,16371,3
RMMP,2019,1771,1
RMOP,2014,923,1
RMPOI,2019,17125,2
RND,2014,6192,2
RND,2019,1630,1
RNNBP,2019,811,1
RP(K),2014,60491,5
RP(K),2019,1506,1
RPB,2019,1225,1
RPC(S),2014,2025,2
RPC(S),2019,996,1
RPD,2014,95644,2
RPI,2014,87952,15
RPI,2019,12015,6
RPI(A),2014,201978,44
RPI(A),2019,71524,34
RPI(KH),2014,23110,8
RPI(KH),2019,4402,2
RPI(KM),2019,2809,1
RPIE,2014,910,1
RPIE,2019,463,1
RPIK,2019,14746,4
RPIR,2019,1777,2
RPP,2019,2718,1
RPP(LB),2014,1195,1
RPS,2014,4521,1
RPWP,2019,11248,3
RRP,2014,2225,1
RRP,2019,20704,7
RRS,2019,1229,1
RSD,2014,665,1
RSDal,2019,1548,1
RSJVP,2019,6497,2
RSMD,2014,30888,8
RSMD,2019,6918,2
RSOSP,2014,1054,1
RSOSP,2019,30983,7
RSP,2014,1666380,6
RSP,2019,709685,6
RSP(S),2019,3926,2
RSPK(B),2014,43051,1
RSPS,2014,458580,5
RSPS,2019,28545,11
RSPSR,2019,58110,5
RSSDP,2014,3283,1
RSTSAHP,2019,2756,1
RSVP,2019,349,1
RSWD,2014,6994,1
RSWD,2019,8381,1
RTAMP,2019,1965,1
RTBHP,2019,811,1
RTJPS,2019,1060,1
RTKP,2014,4112,4
RTKP,2019,6997,5
RTORP,2019,28817,14
RTSGP,2019,3895,1
RUC,2014,56324,8
RUC,2019,25756,9
RVLP,2014,2958,2
RVLP,2019,3845,1
RVMP,2014,1434,1
RVNP,2014,8713,5
RVNP,2019,42905,4
RVP,2014,2396,1
RVP,2019,477,1
RVZP,2019,1290,1
RVyP,2019,1326,1
RWSP,2014,2181,2
RaAD,2014,4327,1
RaAD,2019,1258,1
RaBaP,2014,1521,1
RaCP,2014,7650,1
RaIP,2014,4219,2
RaIP,2019,3265,1
RaJPa,2014,217,1
RaJPa,2019,3405,3
RaJSP,2014,32514,8
RaJSP,2019,23580,6
RaMSP,2014,1572,1
RaNP,2019,3167,5
RasLP,2019,12459,8
RrSP,2014,4215,1
RsAD,2014,12366,3
RsAD,2019,6840,2
RshJP,2014,1571,1
RtJP,2014,4117,1
RtrJP,2014,1526,1
RtrJP,2019,1264,1
S(J),2014,14152,3
SAAFP,2019,8643,2
SABHP,2019,20764,8
SABJANP,2019,2751,2
SACP,2019,1360,2
SAD,2014,3636148,10
SAD,2019,3778574,10
SAD(M),2014,35516,9
SAD(M),2019,52185,2
SADSP,2019,6368,1
SADT,2019,10424,1
SAJP,2019,4991,1
SAKAP,2019,6736,6
SAKSP,2019,2214,1
SANVP,2019,8205,6
SAP,2014,21631,10
SAPRP,2019,4983,1
SARP,2014,9561,5
SATKP,2019,2857,1
SAVIPA,2019,688,1
SBM,2019,2917,1
SBSP,2014,118947,13
SBSP,2019,313925,24
SBSPSP,2019,3919,3
SDC,2019,5321,4
SDF,2014,163698,1
SDF,2019,154489,1
SDP,2014,17435,2
SDP(MP),2019,12525,2
SDPI,2014,396524,29
SDPI,2019,169680,14
SDSP,2019,3139,2
SDU,2019,6283,3
SFP,2019,882,2
SGUP,2019,24816,7
SHF,2019,1306,1
SHP,2014,7953,1
SHS,2014,10262544,58
SHS,2019,12858904,98
SJD,2014,307597,1
SJDD,2019,25630,1
SJP(R),2014,59756,13
SJPA,2014,15474,7
SJPA,2019,14213,3
SJPI,2019,3927,3
SJPT,2019,1672,1
SJSMP,2019,2041,1
SJVP,2019,419,1
SKLP,2014,19253,4
SKM,2014,121956,1
SKM,2019,166922,1
SKPP,2019,1503,1
SLAP,2014,682,1
SLDP,2019,984,1
SLP(L),2014,1997,1
SMARTIP,2019,11877,4
SMFB,2019,18577,11
SNP,2019,5027,2
SP,2014,18632568,189
SP,2019,15647206,49
SP(I),2014,41518,16
SP(I),2019,3916,3
SPAKP,2019,33366,12
SPL,2019,15132,2
SPP,2014,30805,10
SPRP,2019,740,1
SRP,2014,6512,2
SSAD,2014,6788,2
SSBD,2019,2802,1
SSD,2014,10395,3
SSD,2019,63543,7
SSKP,2014,10239,4
SSPD,2014,6681,3
STBP,2019,12430,3
STBSP,2019,2142,2
STPI,2019,730,1
STR,2014,6542,1
SUCI,2014,482116,74
SUCI(C),2019,403835,113
SUSP,2019,2568,1
SUTF,2019,614,1
